Author,Song Name,File Name,File Path
Sayyed Shamsul Haque,কারে বলে ভালবাসা কারে বলে প্রেম,song5_কারে বলে ভালবাসা কারে বলে প্রেম.docx,Data/Sayyed Shamsul Haque/song5_কারে বলে ভালবাসা কারে বলে প্রেম.docx
Sayyed Shamsul Haque,এমন মজা হয় না,song7_এমন মজা হয় না.docx,Data/Sayyed Shamsul Haque/song7_এমন মজা হয় না.docx
Sayyed Shamsul Haque,যেন কত পথ ওগো চলেছি,song2_যেন কত পথ ওগো চলেছি.docx,Data/Sayyed Shamsul Haque/song2_যেন কত পথ ওগো চলেছি.docx
Sayyed Shamsul Haque,শোন বলি একটি কথা আজ,song9_শোন বলি একটি কথা আজ.docx,Data/Sayyed Shamsul Haque/song9_শোন বলি একটি কথা আজ.docx
Sayyed Shamsul Haque,চাঁদের সাথে আমি দেব না তোমার তুলনা,song6_চাঁদের সাথে আমি দেব না তোমার তুলনা.docx,Data/Sayyed Shamsul Haque/song6_চাঁদের সাথে আমি দেব না তোমার তুলনা.docx
Sayyed Shamsul Haque,তোরা দেখ দেখরে চাহিয়া,song4_তোরা দেখ দেখরে চাহিয়া.docx,Data/Sayyed Shamsul Haque/song4_তোরা দেখ দেখরে চাহিয়া.docx
Sayyed Shamsul Haque,কোন লজ্জায় ফুল সুন্দর হলো,song11_কোন লজ্জায় ফুল সুন্দর হলো.docx,Data/Sayyed Shamsul Haque/song11_কোন লজ্জায় ফুল সুন্দর হলো.docx
Sayyed Shamsul Haque,এই যে আকাশ এই যে বাতাস,song3_এই যে আকাশ এই যে বাতাস.docx,Data/Sayyed Shamsul Haque/song3_এই যে আকাশ এই যে বাতাস.docx
Sayyed Shamsul Haque,ও দেখা হলো পথ চলিতে,song10_ও দেখা হলো পথ চলিতে.docx,Data/Sayyed Shamsul Haque/song10_ও দেখা হলো পথ চলিতে.docx
Sayyed Shamsul Haque,"হায়রে মানুষ, রঙ্গীন ফানুস","song8_হায়রে মানুষ, রঙ্গীন ফানুস.docx","Data/Sayyed Shamsul Haque/song8_হায়রে মানুষ, রঙ্গীন ফানুস.docx"
Sayyed Shamsul Haque,রংধনু ছড়িয়ে চেতনার আকাশে,song1_রংধনু ছড়িয়ে চেতনার আকাশে.docx,Data/Sayyed Shamsul Haque/song1_রংধনু ছড়িয়ে চেতনার আকাশে.docx
Sayyed Shamsul Haque,তুমি আসবে বলে কাছে ডাকবে বলে,song12_তুমি আসবে বলে কাছে ডাকবে বলে.docx,Data/Sayyed Shamsul Haque/song12_তুমি আসবে বলে কাছে ডাকবে বলে.docx
Amzad Hossain,দুঃখ ভালোবেসে প্রেমের খেলা খেলতে হয়,song2_দুঃখ ভালোবেসে প্রেমের খেলা খেলতে হয়.docx,Data/Amzad Hossain/song2_দুঃখ ভালোবেসে প্রেমের খেলা খেলতে হয়.docx
Amzad Hossain,এই দুনিয়া এখন তো আর সেই দুনিয়া নাই,song4_এই দুনিয়া এখন তো আর সেই দুনিয়া নাই.docx,Data/Amzad Hossain/song4_এই দুনিয়া এখন তো আর সেই দুনিয়া নাই.docx
Amzad Hossain,কত কাঁনলাম কত সাধলাম আইলা না,song6_কত কাঁনলাম কত সাধলাম আইলা না.docx,Data/Amzad Hossain/song6_কত কাঁনলাম কত সাধলাম আইলা না.docx
